Material,Description,Available,UOM,Area,Section,Bin,Location Text,Tracking Cd,Text,MANUFACTURER
10954092,"VALVE,SOLENOID,120 V,EF8320G202,ASCO",3,EA,A,,R03F03,,ELECTRICAL,"VALVE, SOLENOID, ASCO MFG INC, EF8320G202, 120 V",ASCO MFG INC
11091578,"VALVE,GLOBE,SW,1"",1500,A105,VELAN",1,EA,A,,R02LO4,,PIPING,"VALVE, GATE,VELAN, W-3054W-02TS, 1 IN, ASTM A105, 1500 PSI, FORGED WELDED BONNET, STELLITE FACED SEAT, MACHINED TO SW",VELAN VALVE CORP
13471622,"ASSEMBLY,VALVE,4 X 4,1500#,203097-1,CCI",3,EA,A,,H07,,SMR-VLV,"ASSEMBLY, VALVE, CONTROL COMPONENTS INC, 203097-1, C/W CCI ACTUATOR 105554-010-2, ANSI 1500 LB, 4 X 4, DRAG BODY",CONTROL COMPONENTS INC
13543183,"VALVE,SOLNOD,NBR,WTR TGT,NEMA 1,2,3,3S",5,EA,A,,R03G08,,ELECTRICAL,"VALVE, SOLENOID, ASCO MFG INC, EVX8316G382 MB17596-24DC, 3/8 IN, BRASS BODY, NPT, SINGLE, PILOT, SPRING RETURN, 24 VDC, 5/16 IN, 0 TO 110 PSIG, NORMALLY CLOSED, NBR SEAL, 3-WAY, 2 POSITION, CSA, WATER TIGHT,NEMA 1,2,3,3S,4,4X , COIL: LP 274714-902-D",ASCO MFG INC
13550144,"VALVE,BUTTERFLY,PNEU,8"",CL150,WCC",1,EA,A,,R02F07,,PIPING,"VALVE, BUTTERFLY, PNEUMATIC, 8 IN, CL150 LBS, EL O MATIC USA INC, ED0200U2A00A22K0/A41, SINGLE FLANGED, WCC STEEL (VALVE), W/ RACK AND PINION ACTUATOR, DISK CLOSURE , TRIM: SHAFT - 17-4PH (1""), DISK - 316 STAINLESS STEEL, SEAT-PFTE, ACTUATOR: EL-O-MATIC,",EL O MATIC USA INC
13550144,"VALVE,BUTTERFLY,PNEU,8"",CL150,WCC",1,EA,A,,R02G08,,PIPING,"VALVE, BUTTERFLY, PNEUMATIC, 8 IN, CL150 LBS, EL O MATIC USA INC, ED0200U2A00A22K0/A41, SINGLE FLANGED, WCC STEEL (VALVE), W/ RACK AND PINION ACTUATOR, DISK CLOSURE , TRIM: SHAFT - 17-4PH (1""), DISK - 316 STAINLESS STEEL, SEAT-PFTE, ACTUATOR: EL-O-MATIC,",EL O MATIC USA INC
13559311,"VALVE,SOLNOD,NEMA 4X EXPLOSION PRF,ASCO",6,EA,A,,R03G08,,ELECTRICAL,"VALVE, SOLENOID, ASCO MFG INC, EVHT8327G052, 316 STAINLESS STEEL, FNPT, 1/4 IN, 24 VDC, 1/4 IN, 3-WAY,2 POSITION, 0 TO 150 PSI AIR, 11.6 W, NEMA 4X EXPLOSION PROOF, UNIVERSAL , SINGLE COIL,HIGH TEMPERATURE",ASCO MFG INC
13577717,"VALVE,SOLNOD,PTFE/NBR,32 TO 125 DEG F",1,EA,A,,R03F05,,ELECTRICAL,"VALVE, SOLENOID, 2 WAY, 2 POSITION, CLASS F, ASCO MFG INC, EFX8223G010MF/26663, PTFE/NBR, 300 STAINLESS STEEL, FNPT, SINGLE, PILOT OPERATOR, 3/8 IN, 120 VAC, PTFE/NBR DISC, 1/2 IN, 32 TO 125 DEG F, 60 HZ, EPOXY EXP PROOF/WATERTIGHT , SPRING RETURN, N.C.,",ASCO MFG INC
13590689,"POSITIONER,VALVE,DVC6200-SA-ADG,FISHER",19,EA,A,,R03I05,,PIPING,"POSITIONER, VALVE, FISHER CONTROLS INTL, DVC6200-SA-ADG, 4-20 MA , - QUICK REPEATABLE AUTO-CALIBRATION - REMOTE CALIBRATION AND CONFIGURATION - LINKAGE-LESS NON-CONTACT POSITION FEEDBACK - ADVANCED-AD DIAGNOSTIC TIER - STANDARD RELAY SINGLE ACTING - OUTPU",FISHER CONTROLS INTL
13708994,"VALVE,SOLENOID,YCL-V-212054A-01,ASCO",4,EA,A,,R03F05,,PIPING,"VALVE, SOLENOID, ASCO MFG INC, YCL-V-212054A-01, 3/8 IN, STAINLESS STEEL, 24VDC, EPNC, 3 WAY-50C, LOW PWR 0/110",ASCO MFG INC
13719009,"VALVE,GATE,6"",A216WCB,RF,FLGD,CL600,T5",9,EA,A,,SC240117,,SMR-PIPING,"VALVE, GATE, 6 IN, CARBON STEEL, CLASS 600, FLANGED END, ASTM A216 GR WCB, ASME B16.10, RAISED FACE, API TRIM 5, API 600, ASME B16.34",
13719009,"VALVE,GATE,6"",A216WCB,RF,FLGD,CL600,T5",1,EA,A,,R02E05,,PIPING,"VALVE, GATE, 6 IN, CARBON STEEL, CLASS 600, FLANGED END, ASTM A216 GR WCB, ASME B16.10, RAISED FACE, API TRIM 5, API 600, ASME B16.34",
13719009,"VALVE,GATE,6"",A216WCB,RF,FLGD,CL600,T5",1,EA,A,,R02G05,,PIPING,"VALVE, GATE, 6 IN, CARBON STEEL, CLASS 600, FLANGED END, ASTM A216 GR WCB, ASME B16.10, RAISED FACE, API TRIM 5, API 600, ASME B16.34",
13719009,"VALVE,GATE,6"",A216WCB,RF,FLGD,CL600,T5",1,EA,A,,R03M01,,PIPING,"VALVE, GATE, 6 IN, CARBON STEEL, CLASS 600, FLANGED END, ASTM A216 GR WCB, ASME B16.10, RAISED FACE, API TRIM 5, API 600, ASME B16.34",
13728195,"VALVE,GATE,CL800,FSWXFNPT,3/4"",A105N",18,EA,A,,R02L04,,PIPING,"VALVE, GATE, 3/4 IN, CARBON STEEL, CLASS 800, API TRIM 8, FSW X FNPT, ASTM A105N",
13744507,"VALVE,GATE,T12,0.75"",CL800,A350LF2-1,FTE",2,EA,A,,R02L01,,PIPING,"VALVE, GATE, SOLID WEDGE, 3/4 IN, CARBON STEEL, CLASS 800, API TRIM 12, FNPT, ASTM A350, GR LF2 CL 1, BOLTED BONNET, OS&Y, REGULAR PORT, GRAPHITE PACKING, API 602, ASME B16.34 , INTEGRAL / RENEWABLE HARD FACED SEATS",
13776326,"VALVE,PILOT,1""NPT,SPR-16-16-P1-32-NU00AL",1,EA,A,,R03E05,,INST,"VALVE, PILOT, SPOOL, BIFOLD FLUIDPOWER LTD, SPR-16-16-P1-32-NU-00-AL, 1 IN NPT PNEUMATIC",BIFOLD FLUIDPOWER LTD
13790477,"VALVE,SOL,3 WAY NC,1A97905H02,ROSEMOUNT",10,EA,A,,R03G08,,ELECTRICAL,"VALVE, SOLENOID, 3 WAY, ROSEMOUNT INC, 1A97905H02, N.C.",ROSEMOUNT INC
13793120,"VALVE,CK,SWING,6"",600#,FLGD,RF,TR 12,DSI",1,EA,A,,R02F03,,PIPING,"VALVE, CHECK, SWING, DSI, 165LU-N, CARBON STEEL, 6 IN, A216-WCB, CL 600, API 12 TRIM, FLANGED, ASTM A216, GR WCB, ASME B16.34, STANDARD PORT, RAISED FACE, WITH BOLTED COVER, API 600, ORIGIN CHINA , NACE MR0175, INTEGRAL SEAT/WELDED ON HARD FACED SEAT",
13834689,"VALVE,BALL,RF,2"",CL150,A216WCB,FP,NACE",1,EA,A,,R02J01,,BF01G30M03,"VALVE, BALL, FLOATING, CLASS 150, 316 STAINLESS STEEL BALL, CARBON STEEL, ASTM A216, GR WCB, 2 IN, FULL PORT, METAL SEAT, RAISED FACE, ERROSIVE SERVICE, NACE MR0175 / ISO15156",
13834690,"VALVE,BALL,RF,4"",CL150,A216WCB,FP,NACE",2,EA,A,,R02J01,,BF01G30M03,"VALVE, BALL, FLOATING, CLASS 150, 316 STAINLESS STEEL BALL, CARBON STEEL, ASTM A216, GR WCB, 4 IN, FULL PORT, METAL SEAT, RAISED FACE, ERROSIVE SERVICE, NACE MR0175 / ISO15156",
13843457,"VALVE,GATE,TR.5, 3/4"",CL1500,F22,BONNEY",3,EA,A,,R02L03,,PIPING,"VALVE, GATE, BONNEY FORGE CORP, CL 1500, THREADED, TRIM 5, 3/4 IN, SA/A182-F22, API 598",BONNEY FORGE CORP
13843466,"VALVE,GATE,TR.5,3/4"",CL1690,F22,BONNEY",3,EA,A,,R02L03,,PIPING,"VALVE, GLOBE, Y PATTERN, BONNEY FORGE CORP, CL 1690, MODIFIED ENDS TO SOCKETWELD, TRIM 5, 3/4 IN, SA/A182-F22,API 598",BONNEY FORGE CORP
13849749,"VALVE,BUTTERFLY,6"",CL150,NLL200K,NIBCO",1,EA,A,,R06C04,,PIPING,"VALVE, BUTTERFLY, HIGH PERFORMANCE, NIBCO INC, NLL200K, 6 IN, LCS-6822-0, CARBON STEEL ASTM A216 GR WCB, 285 PSI PRESSURE RATING, ANSI CLASS 150, STAINLESS STEEL STEM, STAINLESS STEEL DISC, GLASS REINFORCED PTFE SEATS",NIBCO INC
11241899,"VALVE,RLF,1/4""NPT,289-973-16964,FISHER",7,EA,A,,S20-END,,SMR-VLV,"VALVE, RELIEF, FISHER CONTROLS INTL, 289-973-16964, 1/4 IN NPT ZINC TYPE 289U, NITRILE/NYL ELASTOMERS, SPRING RANGE: 5 - 25 IN WC",FISHER CONTROLS INTL
13446504,"VALVE,GLOBE,1"",150#,D4-1596-52682,FISHER",1,EA,A,,S20-END,,SMR-VLV,"VALVE, GLOBE, FLANGED, 1 IN, LCC STEEL, 150 LBS, OP RANGE 0-33 PSI, FISHER CONTROLS INTL, D4-1596-52682, 1/2 IN MICRO-FORM 17-4PH SST, ENVIRO-SEAL PTFE PACKING, RAISED FACE, D4, NACE MR0175/IS0 15156, MAX DIFF 285 PSI, FAIL CLOSED, W/SZ 40 ACTUATOR, FACE",FISHER CONTROLS INTL
13446505,"VALVE,GLOBE,1"",600#,D4-1596-52693,FISHER",1,EA,A,,S20-END,,SMR-VLV,"VALVE, GLOBE, FLANGED, 1 IN, 600 LB, OPER RANGE 0-33 PSI, LCC STEEL, FISHER CONTROLS INTL, D4-1596-52693, 1/4 IN MICRO-FORM 17-4PH SST, ENVIRO-SEAL PTFE PACKING, RAISED FACE, NACE MR0175/IS0 15156, FAIL CLOSED, W/SZ 40 ACTUATOR, FACE TO FACE 8.25 IN",FISHER CONTROLS INTL
13446595,"VALVE,GLOBE,2"",150#,667ET14639568,FISHER",1,EA,A,,S20-END,,SMR-VLV,"VALVE, GLOBE, FLANGED, 2 IN NPS W/ 2 5/16 IN PORT (1), LOW TEMP CARBON STEEL, ANSI CL 150/450 PSI CWP, WCC (NACE), FISHER CONTROLS INTL, 667 ET-14639568, 316 SSTL STELLITE PLUG, 316 STAINLESS STEEL SHAFT, T:316 STAINLESS STEEL, 1 STAGE, S:17-4PH H1150/ 17",FISHER CONTROLS INTL
13446659,"VALVE,GLB,2"",1500#,657DA14416118,FISHER",1,EA,A,,S20-END,,SMR-VLV,"VALVE, GLOBE, ANGLE, FLANGED, RING TYPE JOINT, 2 IN NPS, CARBON STEEL, WCC (NACE), ANSI CL 1500/5625 PSI CWP, FISHER CONTROLS INTL, 657 DA -14416118, T:316 STAINLESS STEEL ALLOY 6, RAISED FACE, TRAVEL 3/4 IN, BENCH SET: 3-32 PSI, W/657 DIAPHRAGM ACTUATOR,",FISHER CONTROLS INTL
13446660,"VALVE,GLOBE,1"",600#,657DA14416119,FISHR",1,EA,A,,S20-END,,SMR-VLV,"VALVE, GLOBE, ANGLE, FLANGED, 1 IN NPS, LOW TEMP CARBON STEEL, ANSI CL 600/2250 PSI CWP, WCB (NACE), FISHER CONTROLS INTL, 657 DA-14416119, T:CERAMIC 316 SSTL ALLOY 6, RAISED FACE, TRAVEL 3/4 IN, BENCH SET: 3-32 PSI, W/657 DIAPHRAGM ACTUATOR, NITRILE DIAP",FISHER CONTROLS INTL
13446662,"VALVE,GLOBE,2"",600#,657DA14417643,FISHER",1,EA,A,,S20-END,,SMR-VLV,"VALVE, GLOBE, ANGLE, FLANGED, 2 IN NPS, LOW TEMP CARBON STEEL, ANSI CL 600/2250 PSI CWP, WCC (NACE), FISHER CONTROLS INTL, 657 DA-14417643, T: 316 STAINLESS STEEL ALLOY 6, RAISED FACE, TRAVEL 3/4 IN, BENCH SET: 3-32 PSI, W/657 DIAPHRAGM ACTUATOR, NITRILE",FISHER CONTROLS INTL
13446663,"VALVE,GLOBE,2"",600#,657DA15697956,FISHER",1,EA,A,,S20-END,,SMR-VLV,"VALVE, GLOBE, ANGLE, FLANGED, 2 IN NPS, LOW TEMP CARBON STEEL, ANSI CL 600/2250 PSI CWP, WCC (NACE), FISHER CONTROLS INTL, 657 DA-15697956, T: 316 STAINLESS STEEL ALLOY 6, RAISED FACE, TRAVEL 3/4 IN, BENCH SET: 6-26 PSI, W/657 DIAPHRAGM ACTUATOR, NITRILE",FISHER CONTROLS INTL
13446664,"VALVE,GLOBE,2"",900#,667HPT14452241,FISHR",1,EA,A,,S20-END,,SMR-VLV,"VALVE, GLOBE, FLANGED,RING TYPE JOINT, 2 IN NPS W/ 1 7/8 IN PORT, LOW TEMP CARBON STEEL, ANSI CL 900RTJ/3375 PSI CWP, WCC (NACE), FISHER CONTROLS INTL, 667 HPT-14452241, T:316 STAINLESS STEEL ALLOY 6, RAISED FACE, TRAVEL 1 1/2 IN, BENCH SET: 13-29 PSI, W/",FISHER CONTROLS INTL
13720246,"VLV,CK,2"",SWING, CL1500,A216WCB,BW,T5",1,EA,A,,R02L10,,CB15V00501,"VALVE, SWING CHECK, 2 IN X 2 IN, CARBON STEEL, CLASS 1500, BUTT WELD, BE X BE, API TRIM 5, ASTM A216, GR WCB, XS",
13720255,"VLV,GATE,6"",A216WCB,BW,CL900,T5",1,EA,A,,R02I08,,GB09V20501,"VALVE, GATE, 6 IN X 6 IN, CARBON STEEL, CLASS 900, API TRIM 5, BUTT WELD, ASTM A216, GR WCB, SCH 120",
13720269,"VLV,GATE,12"",A216WCB,RTJ,CL900,T5",1,EA,A,,EAST SIDE,,GR09V20501,"VALVE, GATE, 12 IN X 12 IN, CARBON STEEL, CLASS 900, API TRIM 5, RTJ, ASTM A216, GR WCB",
13720280,"VLV,GATE,1"",A105N,SW,CL1500,T5",2,EA,A,,R02L04,,GS15V00501,"VALVE, GATE, 1 IN X 1 IN, CARBON STEEL, CLASS 1500, API TRIM 5, SOCKET WELD, ASTM A105N",
13720281,"VLV,GATE,1.5"",A105N,SW,CL1500,T5",1,EA,A,,R02L07,,GS15V00501,"VALVE, GATE, 1 1/2 IN X 1 1/2 IN, CARBON STEEL, CLASS 1500, API TRIM 5, SOCKET WELD, ASTM A105N",
13720301,"VLV,GLB,0.75"",A105N,SW,CL1500,T5",1,EA,A,,R02L03,,TS15V10501,"VALVE, GLOBE, Y PATTERN, SOCKET WELD, SWE X SWE, 3/4 IN X 3/4 IN, CLASS 1500, CARBON STEEL, API TRIM 5, ASTM A105N",
13720303,"VLV,GLB,1.5"",A105N,SW,CL1500,T5",1,EA,A,,R02L07,,TS15V10501,"VALVE, GLOBE, Y PATTERN, SOCKET WELD, SWE X SWE, 1 1/2 IN X 1 1/2 IN, CLASS 1500, CARBON STEEL, API TRIM 5, ASTM A105N",
13720947,"VLV,GATE,800#,FSWXFNPT,A350-LF2-1,1""",1,EA,A,,R02L06,,GX08L01205,"VALVE, GATE, 1 IN, LOW TEMPERATURE CARBON STEEL, CLASS 800, API TRIM 12, FEM SOCKET WELD END X FNPT END, ASTM A350, GR LF2 CL 1",
13721058,"VLV,GLOB,800#,SW,A350-LF-2-1,TR 12,1/2""",1,EA,A,,R02L01,,TS08L01205,"VALVE, GLOBE, SOCKET WELD END, 1/2 IN, CLASS 800, LOW TEMPERATURE CARBON STEEL, API TRIM 12, ASTM A350, GR LF2 CL 1",
13723748,"VLV,CHECK,FE,4"" X 4"",A352-LCC,CL300",1,EA,A,,R02K09,,CF05U01207,"VALVE, CHECK, SWING, LOW TEMPERATURE CARBON STEEL, 4 IN, CLASS 300, API TRIM 12, FLANGED END, ASTM A352, GR LCC, RAISED FACE, NACE MR0175/ISO 15156",
13723753,"VLV,GATE,BW,3/4"",A350-LF2-1,CL1500,XXS",12,EA,A,,R02L03,,GB15S01207,"VALVE, GATE, 3/4 IN, CARBON STEEL, CLASS 1500, API TRIM 12, BUTT WELD END, ASTM A350, GR LF2 CL 1, XXS, NACE",
13726216,"VLV,BALL,2"",CL150,RF,A216WCB,NACE",1,EA,A,,R02L10,,BF01S00A03,"VALVE, BALL, FLANGED END, CLASS 150, 316 STAINLESS STEEL BALL, CARBON STEEL, ASTM A216, GR WCB, 2 IN, PTFE SEAT, RAISED FACE, NACE MR0175 / ISO15156",
13726218,"VLV,BALL,4"",CL150,RF,A216WCB,NACE",1,EA,A,,R02K08,,BF01S00A03,"VALVE, BALL, FLANGED END, CLASS 150, 316 STAINLESS STEEL BALL, CARBON STEEL, ASTM A216, GR WCB, 4 IN, PTFE SEAT, RAISED FACE, NACE MR0175 / ISO15156",
13726226,"VLV,GATE,3"",CL150,RF,A216WCB,NACE",1,EA,A,,R02K06,,GF01S01203,"VALVE, GATE, 3 IN, CARBON STEEL, CLASS 150, FLANGED END, RAISED FACE, ASTM A216, GR WCB, NACE",
13726230,"VLV,GATE,10"",CL150,RF,A216WCB,NACE",1,EA,A,,R03F02,,GF01S01203,"VALVE, GATE, 10 IN, CARBON STEEL, CLASS 150, FLANGED END, RAISED FACE, ASTM A216, GR WCB, NACE",
13726231,"VLV,GATE,12"",CL150,RF,A216WCB,NACE",1,EA,A,,R03G01,,GF01S01203,"VALVE, GATE, 12 IN, CARBON STEEL, CLASS 150, FLANGED END, RAISED FACE, ASTM A216, GR WCB, NACE",
13726232,"VLV,GATE,14"",CL150,RF,A216WCB,NACE,GO",1,EA,A,,R03F01,,GF01S01203,"VALVE, GATE, 14 IN, CARBON STEEL, CLASS 150, FLANGED END, GEAR OPERATOR, RAISED FACE, ASTM A216, GR WCB, NACE",
13726248,"VLV,GATE,1"",CL800,SW,A105N,NACE, TRIM 12",28,EA,A,,R02L04,,GS08S01203,"VALVE, GATE, 1 IN, CARBON STEEL, CLASS 800, SOCKET WELD, ASTM A105N, NACE",
13726257,"VLV,GLOBE,6"",CL150,RF,A216WCB,NACE",1,EA,A,,R02J09,,TF01S01203,"VALVE, GLOBE, 6 IN, CARBON STEEL, CLASS 150, FLANGED END, RAISED FACE, ASTM A216, GR WCB, NACE",
13726260,"VLV,GLOBE,1"",CL800,SW,A105N,NACE",3,EA,A,,R02L06,,TS08S01203,"VALVE, GLOBE, 1 IN, CARBON STEEL, CLASS 800, SOCKET WELD, ASTM A105N, NACE",
13726261,"VLV,GLOBE,1.5"",CL800,SW,A105N,NACE",2,EA,A,,R02L06,,TS08S01203,"VALVE, GLOBE, 1 1/2 IN, CARBON STEEL, CLASS 800, SOCKET WELD, ASTM A105N, NACE",
13726266,"VLV,CHK,2"",CL150,RF,TR.12,A216-WCB,NACE",1,EA,A,,R02L09,,CF01S01203,"VALVE, SWING CHECK, 2 IN, CARBON STEEL, CLASS 150, FLANGED END, RAISED FACE, API TRIM 12, ASTM A216, GR WCB, NACE",
13727638,"VLV,GATE,12"",A216WCB,BW,PN150,T5",1,EA,A,,EAST SIDE,,GB11R20501,"VALVE, GATE, 12 IN, PN150, ASME CLASS 900, BUTT WELD, SCH 120, API 5 TRIM, ASTM A216 GR WCB, W/ BY-PASS EQUALIZATION ASSY",
13727642,"VLV,GATE,20"",A216WCB,BW,PN150,T5",1,EA,A,,EAST SIDE,,GB11R20501,"VALVE, GATE, 20 IN, PN150, ASME CLASS 900, BUTT WELD, SCH 120, API 5 TRIM, ASTM A216 GR WCB, W/ BY-PASS EQUALIZATION ASSY",
13727672,"VLV,GATE,2"",A216WCB,BW,PN250,T5",1,EA,A,,R02K03,,GB16R00501,"VALVE, GATE, 2 IN, PN250, ASME CLASS 1500, BUTT WELD, XS, API 5 TRIM, ASTM A216 GR WCB",
13829230,"VLV,GLOBE,8"",150#,SA216 WCB,BONNEY FORGE",1,EA,A,,R02H04,,PIPING,"VALVE, GLOBE, OS&Y, BONNEY FORGE CORP, 8 IN, SA216 WCB, CL150, OS&Y, RF, 13CR STEM, TRIM 8, 13CR DISC, HF SEAT",BONNEY FORGE CORP
